Administrator,admin@zdp1.com
Report Created,"May 16, 2024 10:46:46 AM PDT"
Policy Action,Block
No.,Event Time,User,URL,Policy Action,Cloud Application Class,Cloud Application,URL Class,URL Super Category,URL Category,Threat Category,Threat Name,Location,Department,Request Method,Download File Type,Download File Name,Protocol,Blocked Policy Name,Blocked Policy Type,Client Session Reused,Certificate Chain Validity,Server Session Reused,Server Certificate Validation Type,Server Certificate Validity Period,Server Wildcard Certificate,Server Certificate Self Signed,DLP MD5,DLP Identifier,ALPN Protocol,Unscannable Type,Forwarding Rule,Forwarding Method,Application Segment,Gateway IP,Gateway Name,Upload File Type,Upload File Name,Application Activity,
11,"May 16, 2024 10:34:10 AM PDT",admin@zdp1.com,app.box.com/index.php?rm=box_gen204_batch_record,Not allowed to upload media files to this site,File Sharing,Box,Business Use,Information Technology,FileHost,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,File_Sharing_4,File Sharing,No,Pass,None,Organization Validation,3-12 months,No,No,None,None,N/A,None,None,None,None,None,None,None,None,Upload,
12,"May 16, 2024 10:34:17 AM PDT",admin@zdp1.com,mail.google.com/mail/u/0/?ui=2&ik=74c7398b60&jsver=bU-VkCKxFf8.en..es5&cbl=gmail.pinto-server_20240502.06_p0&rid=eb60..&view=up&act=oestp&_reqid=337760&f.retries=8&at=AF6bupOPJmtFMso2HV2-2_YDEuzzKfNufQ&nsc=1&mb=0&rt=j,File Attachment not allowed,Web Mail,Gmail,Business Use,Internet Communication,Webmail,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,Webmail_1,Webmail,No,Pass,None,Domain Validation,0-3 months,No,No,None,None,N/A,None,None,None,None,None,None,None,18f8026c862fa3f7,Upload/Attachments,
13,"May 16, 2024 10:38:50 AM PDT",admin@zdp1.com,mail.google.com/mail/u/0/?ui=2&ik=74c7398b60&jsver=bU-VkCKxFf8.en..es5&cbl=gmail.pinto-server_20240502.06_p0&rid=eb60..&view=up&act=oestp&_reqid=337760&f.retries=9&at=AF6bupOPJmtFMso2HV2-2_YDEuzzKfNufQ&nsc=1&mb=0&rt=j,File Attachment not allowed,Web Mail,Gmail,Business Use,Internet Communication,Webmail,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,Webmail_1,Webmail,No,Pass,None,Domain Validation,0-3 months,No,No,None,None,N/A,None,None,None,None,None,None,None,18f8026c862fa3f7,Upload/Attachments,
14,"May 16, 2024 10:40:40 AM PDT",admin@zdp1.com,mail.google.com/mail/u/0/?ui=2&ik=74c7398b60&jsver=bU-VkCKxFf8.en..es5&cbl=gmail.pinto-server_20240502.06_p0&rid=fa0d..&view=up&act=oestp&_reqid=338439&at=AF6bupOPJmtFMso2HV2-2_YDEuzzKfNufQ&nsc=1&mb=0&rt=j,File Attachment not allowed,Web Mail,Gmail,Business Use,Internet Communication,Webmail,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,Webmail_1,Webmail,No,Pass,None,Domain Validation,0-3 months,No,No,None,None,N/A,None,None,None,None,None,None,None,18f8026c862fa3f7,Upload/Attachments,
15,"May 16, 2024 10:40:41 AM PDT",admin@zdp1.com,mail.google.com/mail/u/0/?ui=2&ik=74c7398b60&jsver=bU-VkCKxFf8.en..es5&cbl=gmail.pinto-server_20240502.06_p0&rid=fa0d..&view=up&act=oestp&_reqid=338439&f.retries=1&at=AF6bupOPJmtFMso2HV2-2_YDEuzzKfNufQ&nsc=1&mb=0&rt=j,File Attachment not allowed,Web Mail,Gmail,Business Use,Internet Communication,Webmail,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,Webmail_1,Webmail,No,Pass,None,Domain Validation,0-3 months,No,No,None,None,N/A,None,None,None,None,None,None,None,18f8026c862fa3f7,Upload/Attachments,
16,"May 16, 2024 10:40:43 AM PDT",admin@zdp1.com,mail.google.com/mail/u/0/?ui=2&ik=74c7398b60&jsver=bU-VkCKxFf8.en..es5&cbl=gmail.pinto-server_20240502.06_p0&rid=fa0d..&view=up&act=oestp&_reqid=338439&f.retries=2&at=AF6bupOPJmtFMso2HV2-2_YDEuzzKfNufQ&nsc=1&mb=0&rt=j,File Attachment not allowed,Web Mail,Gmail,Business Use,Internet Communication,Webmail,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,Webmail_1,Webmail,No,Pass,None,Domain Validation,0-3 months,No,No,None,None,N/A,None,None,None,None,None,None,None,18f8026c862fa3f7,Upload/Attachments,
17,"May 16, 2024 10:40:48 AM PDT",admin@zdp1.com,mail.google.com/mail/u/0/?ui=2&ik=74c7398b60&jsver=bU-VkCKxFf8.en..es5&cbl=gmail.pinto-server_20240502.06_p0&rid=fa0d..&view=up&act=oestp&_reqid=338439&f.retries=3&at=AF6bupOPJmtFMso2HV2-2_YDEuzzKfNufQ&nsc=1&mb=0&rt=j,File Attachment not allowed,Web Mail,Gmail,Business Use,Internet Communication,Webmail,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,Webmail_1,Webmail,No,Pass,None,Domain Validation,0-3 months,No,No,None,None,N/A,None,None,None,None,None,None,None,18f8026c862fa3f7,Upload/Attachments,
18,"May 16, 2024 10:40:57 AM PDT",admin@zdp1.com,mail.google.com/mail/u/0/?ui=2&ik=74c7398b60&jsver=bU-VkCKxFf8.en..es5&cbl=gmail.pinto-server_20240502.06_p0&rid=fa0d..&view=up&act=oestp&_reqid=338439&f.retries=4&at=AF6bupOPJmtFMso2HV2-2_YDEuzzKfNufQ&nsc=1&mb=0&rt=j,File Attachment not allowed,Web Mail,Gmail,Business Use,Internet Communication,Webmail,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,Webmail_1,Webmail,No,Pass,None,Domain Validation,0-3 months,No,No,None,None,N/A,None,None,None,None,None,None,None,18f8026c862fa3f7,Upload/Attachments,
19,"May 16, 2024 10:41:22 AM PDT",admin@zdp1.com,mail.google.com/mail/u/0/?ui=2&ik=74c7398b60&jsver=bU-VkCKxFf8.en..es5&cbl=gmail.pinto-server_20240502.06_p0&rid=6238..&view=up&act=oestp&_reqid=338482&at=AF6bupOPJmtFMso2HV2-2_YDEuzzKfNufQ&nsc=1&mb=0&rt=j,File Attachment not allowed,Web Mail,Gmail,Business Use,Internet Communication,Webmail,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,Webmail_1,Webmail,No,Pass,None,Domain Validation,0-3 months,No,No,None,None,N/A,None,None,None,None,None,None,None,18f8026c862fa3f7,Upload/Attachments,
20,"May 16, 2024 10:41:23 AM PDT",admin@zdp1.com,mail.google.com/mail/u/0/?ui=2&ik=74c7398b60&jsver=bU-VkCKxFf8.en..es5&cbl=gmail.pinto-server_20240502.06_p0&rid=6238..&view=up&act=oestp&_reqid=338482&f.retries=1&at=AF6bupOPJmtFMso2HV2-2_YDEuzzKfNufQ&nsc=1&mb=0&rt=j,File Attachment not allowed,Web Mail,Gmail,Business Use,Internet Communication,Webmail,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,Webmail_1,Webmail,No,Pass,None,Domain Validation,0-3 months,No,No,None,None,N/A,None,None,None,None,None,None,None,18f8026c862fa3f7,Upload/Attachments,
21,"May 16, 2024 10:41:25 AM PDT",admin@zdp1.com,mail.google.com/mail/u/0/?ui=2&ik=74c7398b60&jsver=bU-VkCKxFf8.en..es5&cbl=gmail.pinto-server_20240502.06_p0&rid=6238..&view=up&act=oestp&_reqid=338482&f.retries=2&at=AF6bupOPJmtFMso2HV2-2_YDEuzzKfNufQ&nsc=1&mb=0&rt=j,File Attachment not allowed,Web Mail,Gmail,Business Use,Internet Communication,Webmail,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,Webmail_1,Webmail,No,Pass,None,Domain Validation,0-3 months,No,No,None,None,N/A,None,None,None,None,None,None,None,18f8026c862fa3f7,Upload/Attachments,
22,"May 16, 2024 10:41:28 AM PDT",admin@zdp1.com,mail.google.com/mail/u/0/?ui=2&ik=74c7398b60&jsver=bU-VkCKxFf8.en..es5&cbl=gmail.pinto-server_20240502.06_p0&rid=6238..&view=up&act=oestp&_reqid=338482&f.retries=3&at=AF6bupOPJmtFMso2HV2-2_YDEuzzKfNufQ&nsc=1&mb=0&rt=j,File Attachment not allowed,Web Mail,Gmail,Business Use,Internet Communication,Webmail,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,Webmail_1,Webmail,No,Pass,None,Domain Validation,0-3 months,No,No,None,None,N/A,None,None,None,None,None,None,None,18f8026c862fa3f7,Upload/Attachments,
23,"May 16, 2024 10:41:35 AM PDT",admin@zdp1.com,mail.google.com/mail/u/0/?ui=2&ik=74c7398b60&jsver=bU-VkCKxFf8.en..es5&cbl=gmail.pinto-server_20240502.06_p0&rid=6238..&view=up&act=oestp&_reqid=338482&f.retries=4&at=AF6bupOPJmtFMso2HV2-2_YDEuzzKfNufQ&nsc=1&mb=0&rt=j,File Attachment not allowed,Web Mail,Gmail,Business Use,Internet Communication,Webmail,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,Webmail_1,Webmail,No,Pass,None,Domain Validation,0-3 months,No,No,None,None,N/A,None,None,None,None,None,None,None,18f8026c862fa3f7,Upload/Attachments,
24,"May 16, 2024 10:41:47 AM PDT",admin@zdp1.com,mail.google.com/mail/u/0/?ui=2&ik=74c7398b60&jsver=bU-VkCKxFf8.en..es5&cbl=gmail.pinto-server_20240502.06_p0&rid=6238..&view=up&act=oestp&_reqid=338482&f.retries=5&at=AF6bupOPJmtFMso2HV2-2_YDEuzzKfNufQ&nsc=1&mb=0&rt=j,File Attachment not allowed,Web Mail,Gmail,Business Use,Internet Communication,Webmail,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,Webmail_1,Webmail,No,Pass,None,Domain Validation,0-3 months,No,No,None,None,N/A,None,None,None,None,None,None,None,18f8026c862fa3f7,Upload/Attachments,
25,"May 16, 2024 10:42:15 AM PDT",admin@zdp1.com,mail.google.com/mail/u/0/?ui=2&ik=74c7398b60&jsver=bU-VkCKxFf8.en..es5&cbl=gmail.pinto-server_20240502.06_p0&rid=6238..&view=up&act=oestp&_reqid=338482&f.retries=6&at=AF6bupOPJmtFMso2HV2-2_YDEuzzKfNufQ&nsc=1&mb=0&rt=j,File Attachment not allowed,Web Mail,Gmail,Business Use,Internet Communication,Webmail,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,Webmail_1,Webmail,No,Pass,None,Domain Validation,0-3 months,No,No,None,None,N/A,None,None,None,None,None,None,None,18f8026c862fa3f7,Upload/Attachments,
26,"May 16, 2024 10:43:15 AM PDT",admin@zdp1.com,mail.google.com/mail/u/0/?ui=2&ik=74c7398b60&jsver=bU-VkCKxFf8.en..es5&cbl=gmail.pinto-server_20240502.06_p0&rid=6238..&view=up&act=oestp&_reqid=338482&f.retries=7&at=AF6bupOPJmtFMso2HV2-2_YDEuzzKfNufQ&nsc=1&mb=0&rt=j,File Attachment not allowed,Web Mail,Gmail,Business Use,Internet Communication,Webmail,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,Webmail_1,Webmail,No,Pass,None,Domain Validation,0-3 months,No,No,None,None,N/A,None,None,None,None,None,None,None,18f8026c862fa3f7,Upload/Attachments,
27,"May 16, 2024 10:43:28 AM PDT",admin@zdp1.com,mail.google.com/mail/u/0/?ui=2&ik=74c7398b60&jsver=bU-VkCKxFf8.en..es5&cbl=gmail.pinto-server_20240502.06_p0&rid=3e51..&view=up&act=oestp&_reqid=338609&at=AF6bupPYt7iVbz-K6sOIAJrzkrEgTjrLvA&nsc=1&mb=0&rt=j,File Attachment not allowed,Web Mail,Gmail,Business Use,Internet Communication,Webmail,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,Webmail_1,Webmail,No,Pass,None,Domain Validation,0-3 months,No,No,None,None,N/A,None,None,None,None,None,None,None,18f8026c862fa3f7,Upload/Attachments,
28,"May 16, 2024 10:43:29 AM PDT",admin@zdp1.com,mail.google.com/mail/u/0/?ui=2&ik=74c7398b60&jsver=bU-VkCKxFf8.en..es5&cbl=gmail.pinto-server_20240502.06_p0&rid=3e51..&view=up&act=oestp&_reqid=338609&f.retries=1&at=AF6bupPYt7iVbz-K6sOIAJrzkrEgTjrLvA&nsc=1&mb=0&rt=j,File Attachment not allowed,Web Mail,Gmail,Business Use,Internet Communication,Webmail,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,Webmail_1,Webmail,No,Pass,None,Domain Validation,0-3 months,No,No,None,None,N/A,None,None,None,None,None,None,None,18f8026c862fa3f7,Upload/Attachments,
29,"May 16, 2024 10:43:31 AM PDT",admin@zdp1.com,mail.google.com/mail/u/0/?ui=2&ik=74c7398b60&jsver=bU-VkCKxFf8.en..es5&cbl=gmail.pinto-server_20240502.06_p0&rid=3e51..&view=up&act=oestp&_reqid=338609&f.retries=2&at=AF6bupPYt7iVbz-K6sOIAJrzkrEgTjrLvA&nsc=1&mb=0&rt=j,File Attachment not allowed,Web Mail,Gmail,Business Use,Internet Communication,Webmail,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,Webmail_1,Webmail,No,Pass,None,Domain Validation,0-3 months,No,No,None,None,N/A,None,None,None,None,None,None,None,18f8026c862fa3f7,Upload/Attachments,
30,"May 16, 2024 10:43:35 AM PDT",admin@zdp1.com,mail.google.com/mail/u/0/?ui=2&ik=74c7398b60&jsver=bU-VkCKxFf8.en..es5&cbl=gmail.pinto-server_20240502.06_p0&rid=3e51..&view=up&act=oestp&_reqid=338609&f.retries=3&at=AF6bupPYt7iVbz-K6sOIAJrzkrEgTjrLvA&nsc=1&mb=0&rt=j,File Attachment not allowed,Web Mail,Gmail,Business Use,Internet Communication,Webmail,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,Webmail_1,Webmail,No,Pass,None,Domain Validation,0-3 months,No,No,None,None,N/A,None,None,None,None,None,None,None,18f8026c862fa3f7,Upload/Attachments,
31,"May 16, 2024 10:43:43 AM PDT",admin@zdp1.com,mail.google.com/mail/u/0/?ui=2&ik=74c7398b60&jsver=bU-VkCKxFf8.en..es5&cbl=gmail.pinto-server_20240502.06_p0&rid=3e51..&view=up&act=oestp&_reqid=338609&f.retries=4&at=AF6bupPYt7iVbz-K6sOIAJrzkrEgTjrLvA&nsc=1&mb=0&rt=j,File Attachment not allowed,Web Mail,Gmail,Business Use,Internet Communication,Webmail,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,Webmail_1,Webmail,No,Pass,None,Domain Validation,0-3 months,No,No,None,None,N/A,None,None,None,None,None,None,None,18f8026c862fa3f7,Upload/Attachments,
32,"May 16, 2024 10:44:01 AM PDT",admin@zdp1.com,mail.google.com/mail/u/0/?ui=2&ik=74c7398b60&jsver=bU-VkCKxFf8.en..es5&cbl=gmail.pinto-server_20240502.06_p0&rid=3e51..&view=up&act=oestp&_reqid=338609&f.retries=5&at=AF6bupPYt7iVbz-K6sOIAJrzkrEgTjrLvA&nsc=1&mb=0&rt=j,File Attachment not allowed,Web Mail,Gmail,Business Use,Internet Communication,Webmail,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,Webmail_1,Webmail,No,Pass,None,Domain Validation,0-3 months,No,No,None,None,N/A,None,None,None,None,None,None,None,18f8026c862fa3f7,Upload/Attachments,
33,"May 16, 2024 10:44:17 AM PDT",admin@zdp1.com,mail.google.com/domainreliability/upload,File Attachment not allowed,Web Mail,Gmail,Business Use,Internet Communication,Webmail,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,Webmail_1,Webmail,No,Pass,None,Domain Validation,0-3 months,No,No,None,None,N/A,None,None,None,None,None,None,None,None,Upload/Attachments,
